anime_id,title,english_title,japanese_title,type,episodes,duration,status,source,season,studios,genres,rating,score,scored_by,rank,popularity,members,favorites,watching,completed,on_hold,dropped,plan_to_watch,start_date,end_date,broadcast_day,broadcast_time,synopsis
507,Gravitation: Lyrics of Love,,グラビテーション,ova,2,1560,finished_airing,manga,summer 1999,Plum,Adult Cast;Boys Love;Comedy;Music;Shoujo;Showbiz,r,6.87,19042,5553,4446,0,0,0,0,0,0,0,1999-07-23,1999-09-22,,,"Bad Luck's lead singer and lyricist, Shindou Shuichi, is a total wreck. With deadlines for the band's next album looming, the pressure is on, but the normally energetic Shuichi has become listless and fallen into a writing slump. It's all because Yuki - the great love of his life - has suddenly become cold and distant. Depressed and anxious, Shuichi doesn't want to think about lyrics - he just wants to know how to get Yuki to talk to him!  Now, thanks to Shuichi's big mouth bragging to the press about how talented he is, the band can't even hire someone else to write the lyrics for them. If they don't manage to break Shuichi out of his slump soon, it could mean the end of Bad Luck for good!   (Source: RightStuf) "
1025,Kachou Ouji,Legend of Black Heaven,課長王子,tv,13,1530,finished_airing,original,summer 1999,AIC;APPP,Adventure;Comedy;Music;Sci-Fi;Space,r+,6.99,9076,4915,4430,0,0,0,0,0,0,0,1999-07-08,1999-10-07,thursday,19:00,"Oji Tanaka has a wife, a child and a mundane job as a salary man in Tokyo's modern society. But life wasn't dull for him to begin with; 15 years ago, he was known as ""Gabriel"", leader of a short-lived heavy metal band called Black Heaven. Oji's life gets a sudden change in direction when he is invited by a mysterious blonde woman named Layla to pick up his Gibson Flying V and once again display his ""legendary"" guitar skills, not knowing that his music generates power for a massive weapon in an intergalactic war.   (Source: ANN)"
371,Cardcaptor Sakura Movie 1,Cardcaptor Sakura The Movie,劇場版 カードキャプターさくら,movie,1,4860,finished_airing,manga,summer 1999,Madhouse,Award Winning;Comedy;Drama;Mahou Shoujo;Shoujo,pg,7.64,62111,1628,2324,0,0,0,0,0,0,0,1999-08-21,1999-08-21,,,"During an after-school shopping trip, Sakura Kinomoto decides to participate in the Tomoeda Shopping District's year-end lottery, with the grand prize being a round trip to Hong Kong. Surprisingly, she draws the winning ball. Alongside her best friend Tomoyo Daidouji, her older brother Touya, her crush Yukito Tsukishiro, and Keroberos, Sakura heads off to Hong Kong.  However, vacation for the Cardcaptor will get cut short. Little does Sakura know, the trip may be connected to her recent, prophetic dreams featuring a mysterious woman and Clow Reed himself, creator of the Clow Cards.  [Written by MAL Rewrite]"
1117,Pokemon Movie 02: Maboroshi no Pokemon Lugia Bakutan,Pokémon: The Movie 2000,ポケットモンスター 幻のポケモンルギア爆誕,movie,1,4840,finished_airing,game,summer 1999,OLM,Adventure;Comedy;Fantasy;Kids,pg,7.36,133004,2831,1389,0,0,0,0,0,0,0,1999-07-17,1999-07-17,,,"An ancient prophecy tells of a day when the titans of ice, lightning, and fire are disturbed. When this occurs, Lugia, the guardian of the sea, will rise up and restore harmony. Enchanted by the words of the prophecy, Gelardan, a Pokémon collector, sets out on his airship with a dreadful plan to capture Lugia by going after these three titans.   After Gelardan makes his move, drastic climate change begins to take place, as terrible storms start popping up all over the globe. One such storm causes the ship carrying Pokémon trainers Satoshi, Kasumi, and Kenji to drift off course and land on Shamouti Island. Upon arriving, Satoshi is told of the ancient prophecy, and of his destiny as the chosen one who will help Lugia restore balance to the world.   With the fate of the world in his hands, Satoshi must summon the courage to face the chaos that threatens to tear everything apart and stop Gelardan.  [Written by MAL Rewrite]"
1138,Medarot,Medabots,メダロット,tv,52,1475,finished_airing,game,summer 1999,Bee Train,Adventure;Comedy;Kids;Sci-Fi;Shounen,pg,7.12,34891,4236,3199,0,0,0,0,0,0,0,1999-07-02,2000-06-30,friday,18:00,"Medabots—powerful robots granted artificial intelligence through special ""medals""—serve at the whims of their owner. They are more commonly used in ""Robbatling,"" a popular combat sport where two medabots face off against one another. In its professional form, Medafighters use their Medabots to qualify for the World Tournament and fight amongst the elite to gain the title of champion.  Elementary schooler Ikki Tenryou has just gained his first Medabot: Metabee, an outdated model with no medal. Fortunately, however, Ikki manages to find a medal in the nearby river; but when Ikki places it into Metabee's head, the latter starts to exhibit strange behaviour. Short-tempered and rebellious, he refuses to obey Ikki's orders. However, to climb the ranks to the World Tournament, Ikki and Metabee must first learn to work together, no matter how difficult the prospect may seem…  [Written by MAL Rewrite]"
415,Tonari no Yamada-kun,My Neighbors the Yamadas,ホーホケキョ となりの山田くん,movie,1,6227,finished_airing,4_koma_manga,summer 1999,Studio Ghibli,Award Winning;Comedy,g,7.09,29748,4436,3484,0,0,0,0,0,0,0,1999-07-17,1999-07-17,,,"From squabbles about groceries against the ambient noise of the TV to their daily shenanigans, the Yamada family invites only a few unusual gazes—similar to any typical household. But despite their prickly exteriors, each of them genuinely cares for one another, making sure to smile and laugh through their otherwise dull and mundane lives. Tonari no Yamada-kun is an intimate and fun look into the lives of a typical Japanese family.  [Written by MAL Rewrite] "
1060,Oruchuban Ebichu,,おるちゅばんエビちゅ,tv,24,525,finished_airing,manga,summer 1999,Gainax;Group TAC,Anthropomorphic;Comedy;Ecchi;Gag Humor;Pets;Seinen,r+,7.36,21647,2829,3335,0,0,0,0,0,0,0,1999-08-01,1999-10-01,,,"Ebichu the hamster seems like the perfect house pet: she cleans, shops, cooks, does laundry, and anything to please her master, known only as ""Office Lady"" (OL). Unfortunately, OL and her unfaithful boyfriend, combined with Ebichu's uncontrollable exuberance and love for ice cream, often earn her severe and bloody punishment. However, Ebichu doesn't seem to mind the abuse if she achieves her goal of making her beloved master a little bit happier.  (Source: IMDB)"
630,Mahoutsukai Tai! (TV),Magic User's Club,魔法使いTai!,tv,13,1440,finished_airing,original,summer 1999,Madhouse;Triangle Staff,Comedy;Fantasy;Romance;School;Sci-Fi,pg_13,6.79,4177,6053,6417,0,0,0,0,0,0,0,1999-07-07,1999-10-06,wednesday,19:00,"The Magic User's Club is a group of five well-meaning misfits who do more than card tricks—they can use actual magic. And with that magic, they managed to defeat a giant ship from outer space! But their close encounter left an enormous cherry blossom tree right in the middle of the city. It's so big that it blocks out the sun!  Takeo Takakura, the club's noble (but perverted) president, calls a special Sunday meeting to take care of the tree. It seems simple enough, but when magic is involved, nothing ever goes according to plan… What's more, there's a ghostly figure hidden among the branches, watching their every move. Who is this silent specter, and what does he want?  (Source: Nozomi Entertainment, edited)"
1108,Senkaiden Houshin Engi,Soul Hunter,仙界伝 封神演義,tv,26,1440,finished_airing,manga,summer 1999,Studio Deen,Action;Adventure;Fantasy;Shounen,pg_13,7.05,7360,4628,5694,0,0,0,0,0,0,0,1999-07-03,1999-12-25,saturday,19:00,"Thousands of years ago, it was a time of witchcraft and dark magic. An evil sorceress has bewitched the emperor of the mighty dynasty and he has become a mindless puppet. The country is in shambles, and evil spirits lurk everywhere. The human world is on the verge of utter destruction. A bold mission is planned by the Confederation of the Immortal Masters. They send a young master wizard to hunt down the villains and evil warlocks in the devastated lands.  (Source: ANN)"
39360,Shinsengumi,Shinsen-gumi,新撰組,movie,1,240,finished_airing,manga,summer 1999,,Historical,r,5.62,165,12934,17158,0,0,0,0,0,0,0,1999-07-20,1999-07-20,,,"The Phoenix asks us why humans choose war as a means of solving problems, while it looks back on the history of Kyoto and ponders on the riot at Ikeda-ya by the Shinsengumi in the last days of the Tokugawa regime.  The short film was also included on the Osamu Tezuka Sakuhin-shuu: Kyoto Animation Theater-hen DVD released in 2015.  (Source: Official Site)"
